PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
2275,Lille,Gebroeders De Winterstraat,11,51.2628190938,4.78781701552
2275,Lille,Pastorijstraat,2,51.2641420595,4.78828237964
2275,Lille,Eendendreef,9,51.2645481041,4.81152547357
2275,Lille,Rode-Kruisstraat,9,51.2389021219,4.82617100477
2275,Lille,Brulens,8,51.2638750247,4.85833335227
2275,Lille,Oostmalsebaan,37,51.2651814216,4.78310118646
2275,Lille,Heiend,10A,51.2353869821,4.82321615889
2275,Lille,Middelveld,19,51.2663183776,4.87791934001
2275,Lille,P.Damiaanstraat,13,51.2360789663,4.83137542064
2275,Lille,Poederleese weg,32,51.2362312721,4.82596405863
2275,Lille,Molenpad,66,51.2754327674,4.86879108059
2275,Lille,Hoeksken,19,51.2413468448,4.82520968719
2275,Lille,Heiend,32,51.234764562,4.82023126222
2275,Lille,Molenpad,31,51.2720255309,4.86898314517
2275,Lille,Singel,22,51.2680531918,4.86791997892
2275,Lille,Boskapelstraat,1,51.2380361006,4.82126588922
2275,Lille,Vlinderweg,17,51.2746847585,4.79164016907
2275,Lille,Dorp,80,51.2298270825,4.83462450349
2275,Lille,Kaulildijk,1,51.2709580807,4.78618522775
2275,Lille,Derde Bosdreef,20,51.273943739,4.80140521984
2275,Lille,Puttekensberg,33,51.2668156142,4.80906909546
2275,Lille,Kouter,24,51.2242618457,4.83546189984
2275,Lille,Lange weg,29,51.2609963905,4.78072334933
2275,Lille,Beulkbeemden,12,51.2633792701,4.77475968533
2275,Lille,Lilsesteenweg,11,51.2316157323,4.83132619336
2275,Lille,Beersebaan,114,51.2765017383,4.8641413739
2275,Lille,Herentalsesteenweg,12,51.2257877189,4.83407847236
2275,Lille,Balsakker,54,51.2379486978,4.81080889706
2275,Lille,Poederleese weg,14,51.2372163733,4.82518392441
2275,Lille,Boelaart,21,51.2688796274,4.81058293361
2275,Lille,Hemeldonk,2,51.2719174493,4.85788897376
2275,Lille,Heiend,60,51.2336784246,4.81661086368
2275,Lille,Beek,58,51.2340025903,4.8338317245
2275,Lille,Balsakker,18,51.2388482572,4.81826449349
2275,Lille,Kapelstraat,32,51.244861658,4.82459184811
2275,Lille,Hemeldonk,43,51.278257605,4.84843042061
2275,Lille,Pulsebaan,55,51.2595406856,4.78450538991
2275,Lille,Moereind,100,51.2559019289,4.78572509269
2275,Lille,Molenpad,84,51.2763252876,4.86860621023
2275,Lille,Bergpad,38,51.2680094518,4.78643944425
2275,Lille,Beulk,6,51.2636122071,4.78494952378
2275,Lille,Vendelmansweg,24,51.2650083641,4.79170977805
2275,Lille,Doolstraat,25,51.2620722503,4.86956521213
2275,Lille,Dr.Tricotstraat,4,51.2281443708,4.83937653877
2275,Lille,Balsakker,4,51.2388169248,4.81988124064
2275,Lille,Schoolblok,6,51.2674518466,4.87140294501
2275,Lille,Boskant,94,51.2472294189,4.8165499605
2275,Lille,Kauwenberg,9,51.2560986633,4.82319073453
2275,Lille,Vlinderweg,3,51.2752065797,4.79273057128
2275,Lille,Beulk,53,51.2631403392,4.78112385539
2275,Lille,Broekzijstraat,48,51.2393722875,4.80564144596
2275,Lille,Houtzijde,119,51.2602485229,4.82968941846
2275,Lille,Derde Bosdreef,8,51.2726485435,4.80313791998
2275,Lille,De Dalen,52,51.2690566053,4.78826352995
2275,Lille,Doolstraat,2,51.2651933235,4.86985784975
2275,Lille,Rozenlaan,34,51.2646132069,4.86781931056
2275,Lille,Heerle,24,51.2156674503,4.86411162599
2275,Lille,Kerkstraat,66,51.2379962085,4.81850841752
2275,Lille,Neerhof,13,51.2327056107,4.82765793877
2275,Lille,Schoolstraat,30,51.2688242363,4.86456295904
2275,Lille,Kerkstraat,26,51.2384869316,4.82188369654
2275,Lille,Achter Puttekensberg,5,51.2712772666,4.80638180751
2275,Lille,Kosterstraat,62,51.2704344601,4.8757207879
2275,Lille,Heikant,78,51.2291236712,4.82610913019
2275,Lille,Eigenaarsstraat,16,51.2695546848,4.86879709544
2275,Lille,Beulk,71,51.2624697304,4.7801659284
2275,Lille,Tielenbaan,23,51.2377903823,4.8271556599
2275,Lille,Bersegembaan,10,51.2701086254,4.78878842172
2275,Lille,Lozijde,2,51.2723790856,4.87501189948
2275,Lille,Rozenlaan,16,51.265412088,4.86765151262
2275,Lille,Wechelsebaan,106,51.2472614614,4.81961037346
2275,Lille,Eikenlaan,6,51.2416846967,4.82711941401
2275,Lille,Berkenlaan,23,51.228112233,4.8142015087
2275,Lille,Beek,76,51.2330717345,4.8338557828
2275,Lille,Visbeekbaan,31,51.2689234973,4.79229244101
2275,Lille,De Dijken,44,51.2473056548,4.82970241634
2275,Lille,Moereind,21,51.2568760565,4.7971652572
2275,Lille,Kerkstraat,84,51.2374373098,4.81659105099
2275,Lille,Akkerstraat,56,51.2480050163,4.82386859644
2275,Lille,Boonhof,67,51.2591041166,4.7870271711
2275,Lille,Bergske,1,51.2300381853,4.83461129774
